p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
4.778275800883669e-64,0.2244169963306697,0.312,0.246,1.2466043736925405e-59,GPATCH2L
6.344656756072126e-64,0.18172011519671272,0.386,0.312,1.6552575010916569e-59,PARN
7.679770130528557e-64,0.18731310283766767,0.427,0.352,2.0035752293535954e-59,MTTP
9.015941351964367e-64,-0.3377677544600122,0.388,0.44,2.3521689393139837e-59,AP2A2
1.4359423687811554e-63,-0.3997461330318557,0.126,0.174,3.7462300459131564e-59,ACLY
1.4935360444233618e-63,0.2620332138420294,0.267,0.206,3.8964861862961084e-59,PPP3CC
1.9162396755341362e-63,0.29120500461236043,0.157,0.108,4.999277689501008e-59,JUNB
1.9613353429442788e-63,0.18498339106016548,0.433,0.357,5.116927776207329e-59,FRS2
3.244542814596477e-63,0.20788684206036168,0.388,0.317,8.464687749000749e-59,SLC30A9
3.4053998453334237e-63,0.3052987456026015,0.16,0.112,8.884347656490368e-59,NUP50
3.8454613888607994e-63,0.2202250188682513,0.347,0.278,1.003242421739894e-58,FER
5.833168827344585e-63,0.2511263566405957,0.139,0.093,1.5218154153659288e-58,INTS9
7.237768779208728e-63,0.25132175543316837,0.248,0.189,1.888261496807765e-58,GALNT1
7.72158959278626e-63,0.23963205071808136,0.25,0.19,2.0144855088620073e-58,EPG5
9.74669127109929e-63,0.20279315287826316,0.424,0.349,2.5428142857170935e-58,TGFBR2
9.996006481219088e-63,0.2944305570169057,0.135,0.09,2.607858130885248e-58,AGK
1.3149865650805148e-62,0.3332875592980602,0.124,0.082,3.430668449638555e-58,PDE7A
1.3626535944046262e-62,0.2578984341675934,0.258,0.198,3.5550269624422295e-58,ODR4
1.5488666827792903e-62,0.20379850551706014,0.341,0.272,4.04083828870289e-58,YTHDC2
1.675359925687683e-62,0.15519248189777937,0.556,0.471,4.370846510126596e-58,TMCC1
1.7611553178610386e-62,0.1678885492143151,0.598,0.522,4.594678108767664e-58,ETFA
2.013140222680127e-62,0.2654459459156504,0.271,0.21,5.252081526950183e-58,DAB1
2.3188775781955583e-62,0.15037882151534898,0.573,0.488,6.049719713754392e-58,NPEPPS
2.347815783080147e-62,0.14959948161402967,0.636,0.558,6.125216596477796e-58,LGR4
2.562366472383258e-62,0.14279432714591508,0.601,0.514,6.684957889800681e-58,PKN2
2.756215461019773e-62,-0.37788362853303725,0.259,0.314,7.190690516254485e-58,NADK
2.9654382100068843e-62,0.2919310527159713,0.172,0.122,7.73653174608696e-58,FAT4
3.1999247992684286e-62,0.20861432053830686,0.309,0.242,8.348283808811403e-58,FBXW4
3.8531487733078604e-62,-0.3098038182452645,0.226,0.284,1.0052479834682877e-57,UAP1
